image_id,type,taxonomy,vernacular_names,calories,carbohydrate,proteins,total_fat,cholesterol,dietary_fiber,glucose,fructose,sucrose,folate,niacin,pantothenic_acid,pyridoxine,riboflavin,thiamin,vit_a,vit_e,vit_c,vit_k,vit_b12,selenium,sodium,potassium,calcium,copper,iron,magnesium,manganese,phosphorus,zinc,water,polyphenols,flavonoids,carotenoids,tannins,Energy (Kcal),Carbohydrates (g),Proteins (g),Total Fat (g),Cholesterol (mg),Dietary Fiber (g),Folate (µg),Niacin (mg),Pantothenic Acid (mg),Pyridoxine (mg),Riboflavin (mg),Thiamin (mg),Vitamin A (IU),Vitamin C (mg),Vitamin K (µg),Sodium (mg),Potassium (mg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Zinc (mg),Carotene-ß (µg),Crypto-xanthin-ß (µg),Lutein Zeaxanthin (µg)
Ajwa_011,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.33,1.84,0.16,0.0,6.95,64.0,40.52,62.84,15.0,1.65,0.84,0.26,0.06,0.05,149.38,0.21,0.0,2.73,0.0,0.21,1.03,701.87,64.48,0.38,0.91,54.38,0.31,63.62,0.44,20.61,0.51,0.51,0.3,1.02,280.64,76.9,1.88,0.15,0.0,6.78,15.02,1.65,0.84,0.25,0.06,0.05,149.31,0.0,2.77,1.05,721.0,66.38,0.37,0.91,55.34,0.31,62.94,0.44,90.85,0.0,23.21
Ajwa_012,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.19,1.81,0.16,0.0,6.73,66.07,41.65,62.75,15.62,1.68,0.83,0.25,0.06,0.05,156.02,0.2,0.0,2.79,0.0,0.21,1.02,723.61,64.12,0.37,0.94,55.54,0.3,63.72,0.45,20.64,0.52,0.51,0.31,1.03,288.62,76.0,1.82,0.15,0.0,6.91,15.14,1.66,0.8,0.25,0.06,0.05,153.34,0.0,2.7,1.01,696.63,65.89,0.37,0.91,54.25,0.3,64.51,0.44,89.13,0.0,24.11
Ajwa_013,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.91,1.87,0.15,0.0,6.84,65.77,41.41,62.03,15.22,1.68,0.81,0.25,0.06,0.05,149.85,0.2,0.0,2.83,0.0,0.21,1.01,704.94,64.37,0.37,0.92,55.78,0.3,62.2,0.44,20.4,0.5,0.5,0.3,1.02,290.42,74.9,1.81,0.15,0.0,6.78,15.5,1.65,0.84,0.26,0.06,0.05,152.37,0.0,2.74,1.03,709.24,66.05,0.37,0.94,54.53,0.3,62.62,0.45,89.33,0.0,24.14
Ajwa_014,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.07,1.84,0.16,0.0,6.94,65.77,39.92,61.35,15.26,1.69,0.84,0.25,0.06,0.05,150.13,0.2,0.0,2.72,0.0,0.2,1.04,730.14,66.24,0.36,0.9,55.65,0.3,65.1,0.45,20.3,0.52,0.52,0.31,1.02,283.11,78.59,1.87,0.15,0.0,6.95,15.7,1.67,0.84,0.25,0.06,0.05,151.03,0.0,2.76,1.01,722.5,66.02,0.38,0.93,54.12,0.3,64.59,0.46,90.35,0.0,23.58
Ajwa_015,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,74.87,1.84,0.16,0.0,6.87,66.32,41.84,61.93,15.33,1.68,0.81,0.25,0.06,0.05,150.23,0.2,0.0,2.78,0.0,0.2,1.03,718.55,64.73,0.36,0.92,54.65,0.31,62.06,0.45,20.1,0.52,0.5,0.31,1.03,287.1,77.31,1.82,0.16,0.0,6.85,15.52,1.63,0.83,0.25,0.06,0.05,152.73,0.0,2.79,1.02,700.09,67.09,0.37,0.93,54.85,0.3,63.27,0.46,92.69,0.0,23.38
Ajwa_016,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.17,1.88,0.15,0.0,6.99,63.96,40.54,62.38,15.53,1.61,0.82,0.25,0.06,0.05,149.54,0.2,0.0,2.74,0.0,0.21,1.04,721.15,65.92,0.37,0.93,53.97,0.3,63.79,0.46,20.38,0.51,0.5,0.31,1.03,284.98,75.36,1.87,0.15,0.0,6.91,15.22,1.64,0.83,0.26,0.06,0.05,151.0,0.0,2.79,1.01,704.97,66.56,0.36,0.94,55.04,0.3,63.19,0.46,91.53,0.0,23.94
Ajwa_017,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.26,1.86,0.16,0.0,7.01,66.64,40.91,59.86,15.28,1.67,0.82,0.26,0.06,0.05,152.09,0.2,0.0,2.8,0.0,0.2,1.05,698.45,66.77,0.38,0.93,54.57,0.3,63.27,0.44,20.52,0.51,0.5,0.31,1.01,276.82,75.42,1.81,0.16,0.0,7.02,15.11,1.64,0.82,0.25,0.06,0.05,156.25,0.0,2.7,1.04,699.02,66.69,0.38,0.94,55.2,0.31,63.05,0.45,92.89,0.0,23.29
Ajwa_018,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.46,1.83,0.15,0.0,6.81,67.17,40.03,61.33,15.42,1.65,0.82,0.25,0.06,0.05,155.8,0.21,0.0,2.79,0.0,0.2,1.03,706.03,64.37,0.37,0.93,54.81,0.3,64.63,0.46,20.84,0.51,0.51,0.31,1.03,284.41,78.43,1.81,0.15,0.0,6.95,15.01,1.67,0.81,0.25,0.06,0.05,151.66,0.0,2.75,1.01,700.25,65.62,0.38,0.93,54.66,0.3,65.0,0.45,91.93,0.0,23.02
Ajwa_019,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.14,1.87,0.16,0.0,6.69,64.38,40.61,61.36,15.46,1.62,0.81,0.25,0.06,0.05,149.73,0.21,0.0,2.72,0.0,0.2,1.04,707.35,66.4,0.37,0.94,55.14,0.31,63.49,0.46,20.69,0.52,0.51,0.31,1.01,285.51,78.41,1.89,0.15,0.0,6.78,15.64,1.64,0.84,0.26,0.06,0.05,148.81,0.0,2.82,1.03,730.59,65.2,0.38,0.92,54.5,0.31,64.26,0.46,89.45,0.0,24.0
Ajwa_020,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.38,1.87,0.16,0.0,6.75,66.71,40.58,61.99,15.48,1.62,0.82,0.26,0.06,0.05,150.84,0.21,0.0,2.76,0.0,0.2,1.05,704.93,65.58,0.37,0.93,54.82,0.31,62.43,0.45,20.76,0.51,0.51,0.3,1.05,288.1,75.65,1.89,0.15,0.0,6.75,15.7,1.69,0.84,0.25,0.06,0.05,148.59,0.0,2.69,1.0,728.49,64.16,0.37,0.93,54.71,0.3,63.48,0.46,89.42,0.0,23.68
Ajwa_021,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.56,1.85,0.15,0.0,6.99,65.7,41.63,62.87,15.06,1.66,0.82,0.25,0.06,0.05,155.22,0.21,0.0,2.81,0.0,0.2,1.02,705.78,64.42,0.37,0.92,56.22,0.3,63.94,0.46,20.36,0.51,0.5,0.31,1.04,287.05,78.4,1.88,0.15,0.0,6.77,15.37,1.65,0.82,0.25,0.06,0.05,149.68,0.0,2.81,1.04,715.31,64.76,0.38,0.9,54.2,0.31,64.71,0.45,92.63,0.0,24.02
Ajwa_022,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.81,1.87,0.15,0.0,6.82,64.2,40.12,62.25,15.18,1.66,0.84,0.26,0.06,0.05,155.0,0.21,0.0,2.72,0.0,0.21,1.05,717.85,64.29,0.37,0.92,54.54,0.31,64.02,0.45,20.69,0.51,0.51,0.31,1.05,290.38,77.66,1.83,0.15,0.0,6.81,14.96,1.66,0.84,0.25,0.06,0.05,151.63,0.0,2.71,1.0,721.87,66.56,0.36,0.93,54.32,0.3,62.68,0.46,91.76,0.0,23.88
Ajwa_023,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.91,1.87,0.15,0.0,6.75,66.54,40.8,61.35,14.97,1.63,0.82,0.26,0.06,0.05,148.67,0.21,0.0,2.82,0.0,0.21,1.04,704.81,66.52,0.37,0.94,56.23,0.3,63.34,0.45,20.96,0.51,0.51,0.3,1.03,286.25,76.13,1.82,0.15,0.0,7.02,15.48,1.63,0.82,0.25,0.06,0.05,156.05,0.0,2.7,1.04,697.47,65.55,0.36,0.9,56.67,0.3,63.21,0.44,91.22,0.0,23.06
Ajwa_024,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.5,1.85,0.15,0.0,6.75,64.0,40.7,59.87,15.48,1.61,0.81,0.25,0.06,0.05,153.54,0.2,0.0,2.83,0.0,0.2,1.0,702.93,64.56,0.38,0.91,55.94,0.3,61.92,0.46,20.59,0.5,0.5,0.3,1.03,284.42,76.94,1.84,0.15,0.0,6.95,15.39,1.65,0.81,0.25,0.06,0.05,148.95,0.0,2.71,1.0,706.51,66.26,0.36,0.9,54.32,0.3,63.43,0.44,91.55,0.0,23.39
Ajwa_025,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.99,1.86,0.15,0.0,6.81,65.47,41.74,60.02,15.54,1.61,0.82,0.25,0.06,0.05,154.43,0.2,0.0,2.74,0.0,0.21,1.04,713.16,64.43,0.38,0.93,56.68,0.31,62.04,0.46,20.26,0.51,0.5,0.31,1.03,278.68,77.72,1.9,0.15,0.0,6.7,15.21,1.62,0.82,0.25,0.06,0.05,151.44,0.0,2.76,1.02,717.89,64.57,0.38,0.92,55.0,0.31,63.27,0.45,90.85,0.0,22.96
Ajwa_026,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,74.76,1.85,0.16,0.0,6.81,63.94,41.64,61.19,15.0,1.61,0.83,0.25,0.06,0.05,149.76,0.21,0.0,2.78,0.0,0.2,1.03,724.69,67.08,0.37,0.93,56.42,0.3,64.45,0.45,20.92,0.52,0.5,0.3,1.04,290.25,75.74,1.85,0.15,0.0,7.01,15.32,1.63,0.82,0.26,0.06,0.05,151.56,0.0,2.71,1.01,721.5,64.88,0.38,0.92,55.12,0.31,62.51,0.45,91.48,0.0,23.01
Ajwa_027,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.17,1.87,0.15,0.0,6.76,65.81,41.41,60.94,15.1,1.64,0.81,0.26,0.06,0.05,151.64,0.21,0.0,2.81,0.0,0.2,1.0,699.14,64.99,0.37,0.94,56.25,0.31,62.93,0.45,20.39,0.5,0.52,0.31,1.03,288.11,76.95,1.83,0.15,0.0,6.97,15.58,1.62,0.85,0.26,0.06,0.05,155.48,0.0,2.75,1.03,729.46,64.32,0.36,0.94,55.9,0.3,64.0,0.44,92.63,0.0,23.54
Ajwa_028,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.72,1.85,0.15,0.0,7.03,66.85,41.59,62.99,15.6,1.63,0.82,0.26,0.06,0.05,154.21,0.2,0.0,2.78,0.0,0.2,1.04,725.38,66.59,0.36,0.91,55.95,0.3,63.16,0.45,20.84,0.5,0.51,0.31,1.01,277.27,76.63,1.82,0.15,0.0,6.99,15.13,1.67,0.84,0.26,0.06,0.05,153.56,0.0,2.8,1.05,701.61,64.6,0.37,0.9,55.64,0.31,63.36,0.46,92.34,0.0,23.35
Ajwa_029,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.96,1.84,0.15,0.0,6.68,64.45,41.18,62.36,15.22,1.65,0.84,0.25,0.06,0.05,152.57,0.21,0.0,2.82,0.0,0.21,1.03,716.27,64.8,0.37,0.91,55.03,0.31,64.81,0.46,20.7,0.52,0.5,0.3,1.01,283.6,77.23,1.87,0.15,0.0,6.81,15.46,1.63,0.84,0.25,0.06,0.05,150.14,0.0,2.82,1.01,715.22,67.16,0.37,0.94,56.16,0.31,63.67,0.46,91.74,0.0,23.4
Ajwa_030,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.24,1.82,0.16,0.0,6.75,66.64,40.88,62.1,15.5,1.66,0.83,0.26,0.06,0.05,151.82,0.21,0.0,2.82,0.0,0.21,1.02,724.04,64.43,0.36,0.94,54.19,0.3,63.24,0.44,20.12,0.51,0.51,0.31,1.04,276.25,78.67,1.86,0.15,0.0,6.88,15.66,1.66,0.83,0.26,0.06,0.05,156.22,0.0,2.7,1.01,710.81,67.04,0.36,0.91,55.72,0.3,64.15,0.45,91.38,0.0,23.97
Ajwa_031,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.06,1.88,0.15,0.0,6.81,65.11,41.81,62.03,15.15,1.63,0.84,0.25,0.06,0.05,149.22,0.21,0.0,2.71,0.0,0.2,1.04,707.9,65.72,0.37,0.93,53.94,0.3,62.58,0.44,20.7,0.52,0.52,0.31,1.03,279.02,77.1,1.83,0.15,0.0,7.0,15.01,1.62,0.84,0.26,0.06,0.05,151.08,0.0,2.72,1.0,726.67,66.53,0.37,0.94,55.48,0.31,62.61,0.46,89.69,0.0,23.93
Ajwa_032,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.1,1.89,0.15,0.0,6.91,66.68,40.63,61.37,15.02,1.63,0.84,0.26,0.06,0.05,154.73,0.21,0.0,2.7,0.0,0.21,1.0,722.48,66.09,0.37,0.93,54.29,0.3,62.01,0.45,20.31,0.52,0.5,0.31,1.0,282.7,77.07,1.82,0.15,0.0,6.89,15.1,1.68,0.8,0.26,0.06,0.05,148.7,0.0,2.74,1.03,708.59,66.86,0.37,0.93,56.0,0.3,62.65,0.44,89.96,0.0,23.36
Ajwa_033,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.04,1.81,0.16,0.0,6.78,66.38,40.71,62.55,15.11,1.66,0.81,0.25,0.06,0.05,149.63,0.2,0.0,2.83,0.0,0.2,1.01,722.26,66.63,0.38,0.9,54.03,0.3,63.04,0.46,20.17,0.5,0.52,0.3,1.01,282.0,76.25,1.85,0.16,0.0,6.8,15.29,1.69,0.81,0.26,0.06,0.05,153.32,0.0,2.75,1.01,709.82,64.26,0.37,0.93,55.96,0.31,63.67,0.45,90.03,0.0,23.33
Ajwa_034,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.78,1.87,0.15,0.0,6.99,64.99,40.63,61.19,15.02,1.67,0.83,0.25,0.06,0.05,156.04,0.21,0.0,2.81,0.0,0.21,1.0,726.59,65.31,0.36,0.9,56.58,0.31,65.09,0.45,20.05,0.5,0.5,0.31,1.05,287.75,75.05,1.87,0.16,0.0,6.81,15.41,1.65,0.84,0.25,0.06,0.05,154.28,0.0,2.73,1.01,715.74,66.69,0.38,0.9,56.63,0.3,62.04,0.45,92.02,0.0,23.25
Ajwa_035,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.75,1.89,0.15,0.0,6.74,65.05,41.26,62.46,15.03,1.64,0.8,0.25,0.06,0.05,150.93,0.2,0.0,2.8,0.0,0.21,1.04,701.46,67.04,0.37,0.92,55.17,0.3,62.86,0.45,20.28,0.5,0.5,0.3,1.03,280.99,75.33,1.82,0.15,0.0,7.01,15.05,1.61,0.8,0.25,0.06,0.05,154.29,0.0,2.78,1.02,719.77,64.64,0.38,0.93,56.18,0.31,62.54,0.45,92.66,0.0,23.25
Ajwa_036,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.76,1.9,0.15,0.0,6.76,65.09,40.44,60.8,15.27,1.68,0.82,0.25,0.06,0.05,151.75,0.21,0.0,2.79,0.0,0.21,1.03,703.67,66.02,0.38,0.92,56.68,0.31,64.88,0.45,20.35,0.51,0.5,0.3,1.02,279.25,74.79,1.85,0.16,0.0,6.81,15.03,1.67,0.83,0.26,0.06,0.05,152.78,0.0,2.8,1.01,722.09,65.22,0.37,0.94,55.49,0.31,65.05,0.44,93.32,0.0,24.07
Ajwa_037,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.03,1.83,0.15,0.0,6.95,67.1,40.85,60.79,15.08,1.61,0.82,0.25,0.06,0.05,149.91,0.2,0.0,2.74,0.0,0.2,1.02,699.64,64.57,0.36,0.9,54.74,0.31,62.63,0.45,19.98,0.5,0.5,0.31,1.01,281.33,75.5,1.81,0.15,0.0,6.86,15.48,1.62,0.84,0.25,0.06,0.05,153.37,0.0,2.77,1.02,697.26,65.48,0.38,0.94,54.95,0.31,63.87,0.44,89.25,0.0,23.96
Ajwa_038,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.92,1.87,0.15,0.0,7.0,66.62,41.16,61.56,15.41,1.61,0.81,0.26,0.06,0.05,153.15,0.2,0.0,2.81,0.0,0.2,1.0,713.67,64.25,0.36,0.92,54.53,0.31,62.67,0.44,20.68,0.51,0.52,0.31,1.02,277.57,78.12,1.88,0.15,0.0,6.97,15.26,1.66,0.81,0.26,0.06,0.05,153.5,0.0,2.79,1.0,709.93,65.25,0.37,0.91,54.84,0.3,64.87,0.46,90.89,0.0,22.96
Ajwa_039,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.4,1.85,0.15,0.0,6.97,65.38,40.94,62.71,14.98,1.64,0.82,0.26,0.06,0.05,148.78,0.2,0.0,2.76,0.0,0.21,1.01,725.91,65.27,0.36,0.94,54.67,0.3,63.32,0.45,20.68,0.52,0.51,0.31,1.02,276.71,75.83,1.81,0.15,0.0,6.71,15.19,1.61,0.83,0.25,0.06,0.05,153.91,0.0,2.76,1.05,729.09,64.12,0.36,0.9,55.83,0.31,64.19,0.46,92.78,0.0,23.58
